Scenario,Method,Trial,Detection_Rate,Response_Time,Success_Rate
APT,Rule_Based,1,82.82951113199034,85.58764446388258,79.21187829164624
APT,Rule_Based,2,81.70620706421637,103.03387324270163,82.06771903757962
APT,Rule_Based,3,81.03408768642275,114.68283445775326,83.08291086075864
APT,Rule_Based,4,82.2182397231102,51.3003672487996,81.9489987202055
APT,Rule_Based,5,81.18677229600209,108.79365904319708,78.89902145974084
APT,Rule_Based,6,83.07919639496815,77.50091983567832,82.88290858908944
APT,Rule_Based,7,81.02581274366085,113.66864839121602,81.45432967817557
APT,Rule_Based,8,83.00354076754508,27.281415506386246,85.01510705189666
APT,Rule_Based,9,82.21848972028435,30.8982683347224,82.20614396561092
APT,Rule_Based,10,80.61818977310638,90.29714062373189,78.37418709371897
APT,Rule_Based,11,81.28319108464916,36.130311344197025,83.01886284933829
APT,Rule_Based,12,83.25933072375601,102.38399553302162,82.19923746005132
APT,Rule_Based,13,82.20807582866999,57.03665531902848,82.95557066170379
APT,Rule_Based,14,80.78960492420161,76.02370808151457,84.2312162652011
APT,Rule_Based,15,81.50651305708617,28.791541086144537,81.8340648005082
APT,Rule_Based,16,81.23892516058541,102.81459817816302,82.19861228910852
APT,Rule_Based,17,80.8587269736031,63.8006493332723,83.27937763160142
APT,Rule_Based,18,81.0522509574761,69.85386321416485,80.6587169109301
APT,Rule_Based,19,82.64236123309203,50.634183142513955,85.22007875267349
APT,Rule_Based,20,80.29477333980792,61.156375177011554,81.9224468188873
APT,Rule_Based,21,81.57642920055821,16.780330662610922,82.96416275560242
APT,Rule_Based,22,81.43125897305865,19.427804302390882,78.43243746471032
APT,Rule_Based,23,80.35894555400479,116.77760908909333,83.47622847159798
APT,Rule_Based,24,79.78970922207863,102.48768830732756,80.04260888695244
APT,Rule_Based,25,82.05098234516166,68.90658531768227,79.50643496253429
APT,Rule_Based,26,82.54092134028637,106.98192563593851,79.7153503095105
APT,Rule_Based,27,80.79838827665543,109.30549214730695,81.52053440599433
APT,Rule_Based,28,81.00602711529395,109.0500567618751,79.09718982543626
APT,Rule_Based,29,82.10344441522061,78.23004257842332,78.54091315312427
APT,Rule_Based,30,83.23671592051421,29.01668700871439,83.70789705944665
APT,Rule_Based,31,85.39519449265693,98.93067934512995,80.87510668989925
APT,Rule_Based,32,82.50467422539604,118.71079299706072,82.89501583014741
APT,Rule_Based,33,76.66480042817251,78.99488334556376,84.11363705719569
APT,Rule_Based,34,81.98413068740115,110.18849343047536,80.06604723553588
APT,Rule_Based,35,81.87940422608159,52.69090683162258,81.01748297617931
APT,Rule_Based,36,80.3349535614188,40.382090189797424,82.46823721295677
APT,Rule_Based,37,78.45478463218242,96.5205702710549,82.45688388348091
APT,Rule_Based,38,80.09460163474994,56.15532176477515,79.70143612377915
APT,Rule_Based,39,80.67023613452157,74.67275466095268,81.98005238174511
APT,Rule_Based,40,81.5870084991203,111.74209834352008,76.6672862014285
APT,Rule_Based,41,80.76083926861868,41.47021394537597,81.04584793979116
APT,Rule_Based,42,80.057316156506,55.19790410291425,80.99234439805713
APT,Rule_Based,43,80.11682146843721,76.98583671476787,82.94615698351265
APT,Rule_Based,44,82.57082692677992,25.82379376893411,81.7744314500851
APT,Rule_Based,45,79.60980604532617,14.26607857299746,79.45909868107435
APT,Rule_Based,46,82.43494860218757,36.13372233079379,80.25218934363528
APT,Rule_Based,47,81.30979401079537,108.67344983643649,76.89718973785955
APT,Rule_Based,48,84.14385029088999,43.33604487929063,81.86761168322509
APT,Rule_Based,49,81.06932303868433,86.58011291424722,83.68425067398167
APT,Rule_Based,50,83.86601990586558,24.78240730652845,83.7330756742919
APT,Single_Agent_PPO,1,86.30179013991463,100.84056649577256,84.35098931777411
APT,Single_Agent_PPO,2,84.51040672592325,81.01102925704087,86.76143721310807
APT,Single_Agent_PPO,3,85.09299018637766,100.63663776806547,85.97487639466073
APT,Single_Agent_PPO,4,84.55600134489677,105.39078676052483,81.32906612652125
APT,Single_Agent_PPO,5,85.47904059730195,27.48696869029005,82.5287422650202
APT,Single_Agent_PPO,6,84.03177862499092,24.92148031187658,86.9047300140665
APT,Single_Agent_PPO,7,86.53347425112354,13.184297525220426,81.39220460085086
APT,Single_Agent_PPO,8,85.69862907234962,102.06743453695645,88.24144451143093
APT,Single_Agent_PPO,9,84.70530476972367,110.98341762752278,86.90839285402188
APT,Single_Agent_PPO,10,84.36246929007618,100.58569208580278,83.16414280845513
APT,Single_Agent_PPO,11,82.5702800715736,23.626014477976998,84.60850408729466
APT,Single_Agent_PPO,12,86.1214201461563,75.34479527973664,85.06848915995486
APT,Single_Agent_PPO,13,86.03279996000656,74.55682732646694,88.33227775473024
APT,Single_Agent_PPO,14,84.1742302021858,108.3941112343415,85.66794744934049
APT,Single_Agent_PPO,15,84.68503876485474,41.35763140782382,81.64394744298842
APT,Single_Agent_PPO,16,84.02321257173848,72.94838671223309,85.4799161474425
APT,Single_Agent_PPO,17,87.5873895036159,81.21178809376302,83.8373631741119
APT,Single_Agent_PPO,18,84.17880760971522,55.04579161450963,83.27706955389218
APT,Single_Agent_PPO,19,87.29077278402703,94.43300012530365,85.13754219293972
APT,Single_Agent_PPO,20,87.99819647585748,81.21087095925266,84.94611589749417
APT,Single_Agent_PPO,21,84.54260685879841,37.76294854967166,84.54521691508435
APT,Single_Agent_PPO,22,85.13448009865243,116.37268877052144,83.09362384733346
APT,Single_Agent_PPO,23,83.71704439531298,51.41229974981008,83.05902281430596
APT,Single_Agent_PPO,24,84.03565046145602,61.33678170469373,85.94022742010436
APT,Single_Agent_PPO,25,83.46450245393699,53.68677939693322,81.35356687215481
APT,Single_Agent_PPO,26,86.13714505203933,82.85909977788775,86.13518429230656
APT,Single_Agent_PPO,27,85.50337206278988,81.20763320710493,83.08668464500678
APT,Single_Agent_PPO,28,83.72202928677461,21.891498364442782,83.63431414650135
APT,Single_Agent_PPO,29,88.82133347602864,80.46542201761214,87.03042448955962
APT,Single_Agent_PPO,30,85.4522858152307,88.2203153128971,83.51040150924997
APT,Single_Agent_PPO,31,85.68570639128846,26.49222259895722,83.64535487812874
APT,Single_Agent_PPO,32,85.0122684533248,98.59728048968827,80.43123794454384
APT,Single_Agent_PPO,33,85.3561293344325,82.65833560492419,82.13764787104964
APT,Single_Agent_PPO,34,83.68941795942203,82.09406275086857,81.80088451822554
APT,Single_Agent_PPO,35,85.86238705084634,56.04222546894758,84.67535203683637
APT,Single_Agent_PPO,36,84.3928535463197,87.88758553134582,85.04633622351831
APT,Single_Agent_PPO,37,83.82450964228262,89.92048642389939,84.13229120438464
APT,Single_Agent_PPO,38,85.02055387658444,96.33867608257287,87.13655339524239
